drug_name,avg_sentiment,review_count,pct_negative,pct_positive,sentiment_std,condition_diversity,review_recency,drug_age,is_new_drug,class_ace_inhibitor,class_alpha_blocker,class_analgesic_nsaid,class_antibiotic,class_anticoagulant,class_anticonvulsant,class_antidepressant_other,class_antiplatelet,class_arb,class_benzodiazepine,class_beta_blocker,class_calcium_channel_blocker,class_cardiac_glycoside,class_corticosteroid,class_diabetes_oral,class_diuretic,class_glp1,class_insulin,class_muscle_relaxant,class_opioid,class_ppi,class_respiratory,class_sglt2,class_sleep,class_ssri,class_statin,class_thyroid,price_median_unit,price_cv,generic_available,n_manufacturers,price_30day,price_log,shortage_total,shortage_active,has_active_shortage,adverse_total,adverse_unique,adverse_log,trial_total,trial_completed,trial_completion_rate,pubmed_total,pubmed_recent,pubmed_recency_ratio
naproxen,-0.28285,100.0,0.65,0.35,0.6081052984807845,10.0,1.0,48,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06459,2.4803285064509892,1.0,2000.0,1.9376999999999998,1.0776269622589747,0.0,0.0,0.0,500,309,6.2166061010848646,200,0,0.0,150,28,0.18666666666666668
omeprazole,-0.23188000000000003,100.0,0.6,0.4,0.6617244640049409,11.0,1.0,35,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.1479,3.004425275789074,1.0,2000.0,4.437,1.6932274381637837,3.0,3.0,1.0,500,245,6.2166061010848646,200,0,0.0,150,5,0.03333333333333333
oxycodone,-0.28919000000000006,100.0,0.65,0.25,0.6753027715272042,7.0,1.0,28,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.20157,3.312502643225186,1.0,2000.0,6.0471,1.9526161846798487,6.0,6.0,1.0,500,268,6.2166061010848646,200,0,0.0,150,41,0.2733333333333333
pantoprazole,-0.1895900735294118,272.0,0.5808823529411765,0.33455882352941174,0.6018516974259186,0.0,0.29411764705882354,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.04207,1.8411580405830303,1.0,2000.0,1.2621,0.8162935853816528,0.0,0.0,0.0,500,274,6.2166061010848646,200,0,0.0,150,31,0.20666666666666667
prednisone,-0.007047368421052634,95.0,0.42105263157894735,0.5263157894736842,0.6993737391321481,11.0,1.0,69,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05827,2.3738815008818652,1.0,2000.0,1.7481,1.0109097637998914,0.0,0.0,0.0,500,274,6.2166061010848646,200,0,0.0,150,27,0.18
rivaroxaban,-0.5313549999999999,100.0,0.8,0.05,0.38570394973792316,9.0,1.0,13,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.39099,0.4067836352281899,1.0,406.0,101.7297,4.632101266947456,0.0,0.0,0.0,500,284,6.2166061010848646,200,0,0.0,150,59,0.3933333333333333
rosuvastatin,-0.4098949999999999,100.0,0.75,0.2,0.5413227080191368,6.0,1.0,21,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.04246,0.38571964647261237,1.0,2000.0,1.2738,0.8214524407128692,0.0,0.0,0.0,500,324,6.2166061010848646,200,0,0.0,150,67,0.44666666666666666
semaglutide,-0.329585,100.0,0.65,0.2,0.5643674632817798,4.0,1.0,7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,36.96666666666667,0.0,0.0,1.0,1109.0,7.01211529430638,0.0,0.0,0.0,500,296,6.2166061010848646,200,0,0.0,150,120,0.8
sertraline,-0.172818,300.0,0.6066666666666667,0.37333333333333335,0.7228145161046772,0.0,1.0,33,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.03621,4.7868444099660685,1.0,2000.0,1.0863,0.7353921621536913,0.0,0.0,0.0,500,274,6.2166061010848646,200,0,0.0,150,37,0.24666666666666667
simvastatin,-0.19286315789473688,95.0,0.5789473684210527,0.3684210526315789,0.5673312235768808,6.0,0.3684210526315789,33,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.05512,1.0166867247774656,1.0,2000.0,1.6536,0.9759172086507056,0.0,0.0,0.0,500,279,6.2166061010848646,200,0,0.0,150,24,0.16
spironolactone,-0.219465,100.0,0.65,0.35,0.6972085751390862,4.0,1.0,64,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0992,1.6992215473000294,1.0,2000.0,2.976,1.3802762887943276,3.0,3.0,1.0,500,298,6.2166061010848646,200,0,0.0,150,34,0.22666666666666666
tamsulosin,-0.1448117857142857,280.0,0.5571428571428572,0.3464285714285714,0.5909445376370849,0.0,0.375,27,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05166,2.084785740182266,1.0,1796.0,1.5497999999999998,0.9360149247218847,3.0,3.0,1.0,500,284,6.2166061010848646,200,0,0.0,148,48,0.32432432432432434
tramadol,-0.11378421052631577,95.0,0.5263157894736842,0.47368421052631576,0.5802490626860507,2.0,0.15789473684210525,29,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.02594,2.6408092704170225,1.0,2000.0,0.7782,0.5756016167049015,0.0,0.0,0.0,500,256,6.2166061010848646,200,0,0.0,150,24,0.16
verapamil,0.09473157894736842,95.0,0.3684210526315789,0.5263157894736842,0.6405153801304466,5.0,0.7894736842105263,43,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18195,1.5573895881561555,1.0,2000.0,5.4585,1.8653970926899333,3.0,3.0,1.0,500,280,6.2166061010848646,163,0,0.0,150,13,0.08666666666666667
warfarin,-0.09350000000000001,100.0,0.55,0.35,0.5403379395238584,10.0,0.25,70,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09383,0.10792751262406139,1.0,2000.0,2.8148999999999997,1.3389144520730811,0.0,0.0,0.0,500,253,6.2166061010848646,200,0,0.0,150,32,0.21333333333333335
zolpidem,-0.01898975265017668,283.0,0.4628975265017668,0.45936395759717313,0.6104316763490932,0.0,0.31448763250883394,32,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0376,2.7828942126771183,1.0,2000.0,1.1280000000000001,0.755182571479398,0.0,0.0,0.0,500,316,6.2166061010848646,148,0,0.0,150,38,0.25333333333333335
